unix_time_ns,iso_time,seq,mode_machine,max_temp,max_temp_motor,avg_temp,imu_temp,max_abs_tau,max_abs_dq,dropped_samples
1782790655380067889,2026-06-30 11:37:35.380067889,0,6,55,23,42.5862,79,0.263672,0.0245437,0
1782790656394679004,2026-06-30 11:37:36.394679004,20,6,55,23,42.5862,79,0.263672,0.0265072,0
1782790657404747545,2026-06-30 11:37:37.404747545,40,6,55,23,42.5862,79,0.263672,0.0171416,0
1782790658417140944,2026-06-30 11:37:38.417140944,60,6,55,23,42.5517,79,0.263672,0.0291456,0
1782790659426237500,2026-06-30 11:37:39.426237500,80,6,55,23,42.5862,80,0.263672,0.0322136,0
1782790660438540259,2026-06-30 11:37:40.438540259,100,6,55,23,42.5862,80,0.263672,0.0305433,0
1782790661447464361,2026-06-30 11:37:41.447464361,120,6,55,23,42.5862,80,0.263672,1.00016,0
1782790662459367449,2026-06-30 11:37:42.459367449,140,6,55,23,42.5862,80,0.263672,0.484738,0
1782790663470097323,2026-06-30 11:37:43.470097323,160,6,55,23,42.5517,79,0.263672,0.019635,0
1782790664483152452,2026-06-30 11:37:44.483152452,180,6,55,23,42.5862,79,0.263672,0.0239983,0
1782790665498041695,2026-06-30 11:37:45.498041695,200,6,55,23,42.5862,79,1.11861,0.150846,0
1782790666511957668,2026-06-30 11:37:46.511957668,220,6,55,23,42.5862,79,3.57955,0.242369,0
1782790667524433121,2026-06-30 11:37:47.524433121,240,6,55,23,42.5862,80,6.25818,0.375825,0
1782790668537383056,2026-06-30 11:37:48.537383056,260,6,55,23,42.5862,80,8.80473,0.487806,0
1782790669547736111,2026-06-30 11:37:49.547736111,280,6,55,23,42.5517,80,9.70331,0.114849,0
1782790670557645397,2026-06-30 11:37:50.557645397,300,6,55,23,42.5172,80,22.0296,0.130388,0
1782790671570354020,2026-06-30 11:37:51.570354020,320,6,55,23,42.6207,80,15.1172,2.594,0
1782790672579409978,2026-06-30 11:37:52.579409978,340,6,55,23,42.6207,79,38.6719,4.01628,0
1782790673592284650,2026-06-30 11:37:53.592284650,360,6,55,23,42.6897,79,34.8926,2.2387,0
1782790674604238102,2026-06-30 11:37:54.604238102,380,6,55,23,42.7241,79,44.5605,4.85108,0
1782790675616130193,2026-06-30 11:37:55.616130193,400,6,55,23,42.6897,79,13.623,0.260553,0
1782790676628880897,2026-06-30 11:37:56.628880897,420,6,55,23,42.6897,80,23.9941,1.07447,0
1782790677640688719,2026-06-30 11:37:57.640688719,440,6,55,23,42.8276,81,17.9297,3.32049,0
1782790678652725073,2026-06-30 11:37:58.652725073,460,6,55,23,42.931,80,14.502,0.073709,0
1782790679666643510,2026-06-30 11:37:59.666643510,480,6,55,23,42.931,80,11.5137,0.0184078,0
1782790680677400814,2026-06-30 11:38:00.677400814,500,6,55,23,42.8966,79,10.459,0.0428541,0
1782790681688545981,2026-06-30 11:38:01.688545981,520,6,55,23,42.8621,78,10.7227,0.0214757,0
